1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Orlando,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Atlanta
12:00.0,Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession)
10:37.0,Shooting foul by D. Hunter (drawn by P. Banchero),,55-54,,
10:37.0,P. Banchero makes free throw 1 of 2,+1,56-54,,
10:37.0,P. Banchero makes free throw 2 of 2,+1,57-54,,
10:22.0,,,57-57,+3,T. Young makes 3-pt jump shot from 25 ft
10:00.0,W. Carter makes 2-pt jump shot from 14 ft,+2,59-57,,
9:45.0,,,59-60,+3,D. Murray makes 3-pt jump shot from 25 ft (assist by T. Young)
9:32.0,P. Banchero makes 2-pt layup from 2 ft,+2,61-60,,
9:24.0,,,61-62,+2,T. Young makes 2-pt layup from 2 ft
9:10.0,W. Carter misses 3-pt jump shot from 26 ft,,61-62,,
9:07.0,,,61-62,,Defensive rebound by D. Hunter
8:56.0,,,61-64,+2,D. Hunter makes 2-pt jump shot from 16 ft (assist by T. Young)
8:39.0,T. Ross misses 3-pt jump shot from 23 ft,,61-64,,
8:37.0,,,61-64,,Defensive rebound by J. Collins
8:23.0,,,61-64,,T. Young misses 2-pt jump shot from 11 ft (block by P. Banchero)
8:19.0,Defensive rebound by W. Carter,,61-64,,
8:16.0,P. Banchero misses 2-pt jump shot from 10 ft,,61-64,,
8:15.0,Offensive rebound by Team,,61-64,,
8:15.0,,,61-64,,Loose ball foul by D. Murray (drawn by P. Banchero)
8:07.0,J. Suggs misses 3-pt jump shot from 26 ft,,61-64,,
8:05.0,Offensive rebound by F. Wagner,,61-64,,
8:05.0,J. Suggs makes 2-pt layup from 4 ft (assist by F. Wagner),+2,63-64,,
8:05.0,Shooting foul by C. Capela (drawn by J. Suggs),,63-64,,
8:05.0,J. Suggs makes free throw 1 of 1,+1,64-64,,
7:52.0,,,64-64,,Turnover by D. Hunter (out of bounds lost ball)
7:43.0,Shooting foul by D. Murray (drawn by J. Suggs),,64-64,,
7:43.0,J. Suggs misses free throw 1 of 2,,64-64,,
7:43.0,Offensive rebound by Team,,64-64,,
7:43.0,J. Suggs misses free throw 2 of 2,,64-64,,
7:42.0,,,64-64,,Defensive rebound by J. Collins
7:42.0,,,64-64,,Personal foul by W. Carter (drawn by J. Collins)
7:42.0,C. Anthony enters the game for J. Suggs,,64-64,,
7:42.0,,,64-65,+1,T. Young makes free throw 1 of 1
7:25.0,,,64-65,,T. Young misses 2-pt jump shot from 6 ft (block by C. Anthony)
7:25.0,Defensive rebound by T. Ross,,64-65,,
7:12.0,C. Anthony makes 2-pt jump shot from 10 ft,+2,66-65,,
7:01.0,,,66-68,+3,T. Young makes 3-pt jump shot from 26 ft (assist by D. Murray)
6:38.0,W. Carter misses 3-pt jump shot from 23 ft,,66-68,,
6:35.0,Offensive rebound by P. Banchero,,66-68,,
6:27.0,Turnover by P. Banchero (lost ball; steal by C. Capela),,66-68,,
6:22.0,,,66-70,+2,D. Hunter makes 2-pt dunk at rim (assist by T. Young)
6:21.0,Orlando full timeout,,66-70,,
6:10.0,Turnover by F. Wagner (bad pass; steal by J. Collins),,66-70,,
6:06.0,,,66-72,+2,D. Murray makes 2-pt layup from 3 ft (assist by D. Hunter)
5:47.0,T. Ross misses 3-pt jump shot from 26 ft,,66-72,,
5:43.0,,,66-72,,Defensive rebound by T. Young
5:24.0,,,66-72,,Turnover by T. Young (bad pass; steal by F. Wagner)
5:22.0,Turnover by T. Ross (bad pass; steal by D. Murray),,66-72,,
5:14.0,,,66-72,,D. Murray misses 2-pt jump shot from 13 ft
5:12.0,Defensive rebound by T. Ross,,66-72,,
4:58.0,C. Anthony misses 2-pt jump shot from 12 ft,,66-72,,
4:53.0,Offensive rebound by F. Wagner,,66-72,,
4:53.0,F. Wagner misses 2-pt layup at rim,,66-72,,
4:52.0,Offensive rebound by T. Ross,,66-72,,
4:51.0,P. Banchero makes 3-pt jump shot from 27 ft (assist by T. Ross),+3,69-72,,
4:36.0,,,69-72,,T. Young misses 3-pt jump shot from 28 ft
4:34.0,Defensive rebound by F. Wagner,,69-72,,
4:24.0,P. Banchero misses 3-pt jump shot from 26 ft,,69-72,,
4:19.0,,,69-72,,Defensive rebound by D. Hunter
4:08.0,,,69-72,,D. Hunter misses 2-pt jump shot from 9 ft
4:06.0,Defensive rebound by T. Ross,,69-72,,
4:00.0,Personal foul by D. Hunter (drawn by W. Carter),,69-72,,
4:00.0,W. Carter makes free throw 1 of 2,+1,70-72,,
4:00.0,,,70-72,,J. Holiday enters the game for C. Capela
4:00.0,,,70-72,,O. Okongwu enters the game for D. Murray
4:00.0,W. Carter makes free throw 2 of 2,+1,71-72,,
3:51.0,,,71-72,,Personal foul by W. Carter (drawn by T. Young)
3:39.0,,,71-72,,Shooting foul by W. Carter (drawn by T. Young)
3:39.0,,,71-73,+1,T. Young makes free throw 1 of 2
3:39.0,M. Bamba enters the game for W. Carter,,71-73,,
3:39.0,,,71-73,,J. Johnson enters the game for J. Collins
3:39.0,,,71-74,+1,T. Young makes free throw 2 of 2
3:27.0,F. Wagner misses 2-pt layup from 2 ft,,71-74,,
3:19.0,Offensive rebound by M. Bamba,,71-74,,
3:19.0,M. Bamba makes 2-pt dunk at rim,+2,73-74,,
3:14.0,,,73-74,,T. Young misses 2-pt jump shot from 18 ft
3:12.0,Defensive rebound by F. Wagner,,73-74,,
2:58.0,Def 3 sec tech foul by Team,,73-74,,
2:58.0,,,73-74,,Atlanta full timeout
2:58.0,C. Okeke enters the game for P. Banchero,,73-74,,
